iter	Accuracy	Logloss
150	0.8016795123	0.4546966757
151	0.8015644772	0.4542745422
152	0.8017945473	0.4537865511
153	0.8020246175	0.4534184677
154	0.8020246175	0.4530584647
155	0.801334407	0.4527046522
156	0.8019095824	0.4520387984
157	0.8021396526	0.4515954058
158	0.8020246175	0.4511348483
159	0.8020246175	0.450695801
160	0.8021396526	0.450355609
161	0.8021396526	0.4499907249
162	0.8023697228	0.4495661068
163	0.8019095824	0.4491808187
164	0.8022546877	0.4488182726
165	0.8022546877	0.4485216808
166	0.8020246175	0.448110862
167	0.8025997929	0.4476431004
168	0.8030599333	0.44732477
169	0.8028298631	0.4468601343
170	0.8028298631	0.4464703166
171	0.8030599333	0.4461484802
172	0.8030599333	0.4456213953
173	0.8030599333	0.445255742
174	0.8029448982	0.4447512817
175	0.8028298631	0.4443603854
176	0.8031749684	0.444059133
177	0.8036351087	0.4434625257
178	0.8032900035	0.4431666757
179	0.8035200736	0.4427235045
180	0.8036351087	0.4423690362
181	0.8032900035	0.4420176165
182	0.8036351087	0.4416968528
183	0.8034050385	0.4411176307
184	0.8035200736	0.4408616262
185	0.8037501438	0.4405072197
186	0.8042102841	0.4400761954
187	0.8037501438	0.4397781771
188	0.8038651789	0.4393838996
189	0.8043253192	0.4391328979
190	0.8045553894	0.4389460002
191	0.8044403543	0.4384629053
192	0.8047854596	0.4379427178
193	0.8046704245	0.4375730606
194	0.8046704245	0.436944683
195	0.8047854596	0.4366523916
196	0.8050155297	0.436403831
197	0.8047854596	0.4358881688
198	0.805360635	0.4355496087
199	0.805360635	0.4353048485
200	0.805360635	0.434970023
201	0.8050155297	0.4346433778
202	0.8052455999	0.4343052246
203	0.8072011964	0.4339907946
204	0.8069711262	0.4337008014
205	0.8072011964	0.4334885192
206	0.808006442	0.4330974553
207	0.8078914069	0.4326644159
208	0.808006442	0.4323779145
209	0.808006442	0.43203687
210	0.8078914069	0.431732236
211	0.8078914069	0.4315105719
212	0.808006442	0.4310303546
213	0.8077763718	0.4307042858
214	0.8078914069	0.4303674225
215	0.8075463016	0.4301440351
216	0.8075463016	0.4298952221
217	0.8082365121	0.4295878486
218	0.8082365121	0.4292136056
219	0.8083515472	0.4288059127
220	0.8086966525	0.4285251879
221	0.8084665823	0.4282041702
222	0.8084665823	0.427892677
223	0.8085816174	0.4276700489
224	0.8085816174	0.4272726267
225	0.8084665823	0.4269299989
226	0.8088116876	0.4265998509
227	0.8092718279	0.4263056255
228	0.8092718279	0.425825011
229	0.8096169332	0.4254808705
230	0.8095018981	0.4249751872
231	0.8095018981	0.4247521601
232	0.8096169332	0.4244719659
233	0.8096169332	0.4242592423
234	0.8096169332	0.424044675
235	0.8097319683	0.4237702698
236	0.8095018981	0.4235359682
237	0.8096169332	0.4232692938
238	0.8098470033	0.4230712442
239	0.8097319683	0.4227584023
240	0.8101921086	0.4224473076
241	0.8104221788	0.4221519917
242	0.810767284	0.4217310552
243	0.8108823191	0.4214704368
244	0.810767284	0.421324587
245	0.8112274244	0.4209894788
246	0.8108823191	0.4207455988
247	0.8106522489	0.4204395254
248	0.810767284	0.4202893896
249	0.810767284	0.4201325806
250	0.8108823191	0.4196342291
251	0.8108823191	0.4193522414
252	0.8111123893	0.4191437936
253	0.8108823191	0.4187616112
254	0.8105372139	0.4185469533
255	0.810767284	0.4183796998
256	0.8109973542	0.4179697791
257	0.8111123893	0.4177505093
258	0.8112274244	0.4175589439
259	0.8113424595	0.4173608103
260	0.8114574945	0.4172182833
261	0.8116875647	0.4170127307
262	0.8118025998	0.416744084
263	0.8118025998	0.4164255752
264	0.8116875647	0.4162442498
265	0.8109973542	0.4159755496
266	0.8108823191	0.4155326701
267	0.8108823191	0.4153114734
268	0.8112274244	0.415179159
269	0.8112274244	0.4149445566
270	0.8108823191	0.4147655959
271	0.8113424595	0.4146019463
272	0.8109973542	0.4144690705
273	0.8111123893	0.4142135451
274	0.8111123893	0.4140684246
275	0.8108823191	0.4138400482
276	0.8112274244	0.4135577833
277	0.8113424595	0.4132610768
278	0.8112274244	0.4131233675
279	0.8113424595	0.4129716572
280	0.8113424595	0.4128109623
281	0.81203267	0.4124557087
282	0.8127228805	0.4120815213
283	0.8127228805	0.4119358569
284	0.8127228805	0.4117391803
285	0.8127228805	0.4114931398
286	0.8128379156	0.4113412104
287	0.8127228805	0.4111973147
288	0.8130679857	0.410883364
289	0.8137581962	0.4105770252
290	0.8137581962	0.4103249393
291	0.8136431612	0.4102077626
292	0.8137581962	0.409997946
293	0.8135281261	0.4098511675
294	0.813413091	0.4096756381
295	0.8136431612	0.4094743267
296	0.8137581962	0.4092726834
297	0.8139882664	0.4091439803
298	0.8137581962	0.4090583981
299	0.8138732313	0.4088465357
300	0.8142183366	0.4087394782
301	0.8143333717	0.4084926354
302	0.8144484068	0.4083177971
303	0.8142183366	0.4082028921
304	0.8142183366	0.4080150877
305	0.8146784769	0.4077745023
306	0.8149085471	0.4076689465
307	0.8150235822	0.407518979
308	0.8150235822	0.4073178069
309	0.8152536524	0.4071293938
310	0.814793512	0.4069354933
311	0.8149085471	0.4067866522
312	0.8149085471	0.4066061327
313	0.8150235822	0.4063101331
314	0.8149085471	0.4061897961
315	0.8150235822	0.40590067
316	0.8150235822	0.4057968068
317	0.8149085471	0.4055864147
318	0.8149085471	0.4053623323
319	0.8152536524	0.4051214721
320	0.8152536524	0.4050084284
321	0.8159438629	0.4048468594
322	0.8158288278	0.4047051479
323	0.816058898	0.4045846459
324	0.816173933	0.4043099345
325	0.8164040032	0.4041046143
326	0.816173933	0.4039763121
327	0.8164040032	0.403779205
328	0.8164040032	0.4036201287
329	0.8162889681	0.4033918087
330	0.8164040032	0.4032097337
331	0.8164040032	0.4030821475
332	0.8162889681	0.4028895214
333	0.8166340734	0.4027058591
334	0.8167491085	0.4025530479
335	0.8168641436	0.4023722144
336	0.8168641436	0.4021658426
337	0.8166340734	0.4020676046
338	0.8168641436	0.4019769112
339	0.8170942137	0.4017991152
340	0.8170942137	0.401670971
341	0.8168641436	0.4014741299
342	0.8169791786	0.4012853934
343	0.8170942137	0.4010895531
344	0.8173242839	0.400916032
345	0.8173242839	0.4008122056
346	0.817439319	0.4006697378
347	0.8173242839	0.4005813574
348	0.817439319	0.4004107185
349	0.8172092488	0.4002426953
350	0.8173242839	0.4000893289
351	0.8173242839	0.3999640997
352	0.8173242839	0.3998194376
353	0.8172092488	0.3997208236
354	0.8176693892	0.3995607821
355	0.817439319	0.3994091284
356	0.817439319	0.399137611
357	0.817439319	0.3990300375
358	0.817439319	0.3987499503
359	0.8177844242	0.3986118186
360	0.8175543541	0.3984026131
361	0.8175543541	0.3982037982
362	0.8176693892	0.3981038681
363	0.8177844242	0.3978761978
364	0.8181295295	0.3978009557
365	0.8181295295	0.3977027533
366	0.8182445646	0.3975989549
367	0.8181295295	0.397487255
368	0.8184746348	0.3974061861
369	0.8187047049	0.3972642731
